
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      9,640 K
Registry                       172 Services                   0     74,504 K
smss.exe                       632 Services                   0        432 K
csrss.exe                     1016 Services                   0      3,968 K
wininit.exe                   1072 Services                   0      2,020 K
csrss.exe                     1080 Console                    1      4,940 K
winlogon.exe                  1164 Console                    1      6,712 K
services.exe                  1212 Services                   0     10,264 K
lsass.exe                     1220 Services                   0     52,292 K
svchost.exe                   1352 Services                   0     66,504 K
fontdrvhost.exe               1388 Services                   0      2,856 K
fontdrvhost.exe               1396 Console                    1     18,656 K
WUDFHost.exe                  1456 Services                   0      3,256 K
WUDFHost.exe                  1524 Services                   0      2,760 K
svchost.exe                   1572 Services                   0     51,132 K
svchost.exe                   1620 Services                   0     17,488 K
dwm.exe                       1680 Console                    1    128,936 K
svchost.exe                   1836 Services                   0      7,584 K
svchost.exe                   1868 Services                   0     12,912 K
svchost.exe                   2028 Services                   0     30,276 K
svchost.exe                   2036 Services                   0     36,956 K
svchost.exe                   1288 Services                   0     43,528 K
svchost.exe                    712 Services                   0     20,120 K
svchost.exe                   1252 Services                   0     17,280 K
svchost.exe                   2080 Services                   0     17,052 K
svchost.exe                   2128 Services                   0     17,312 K
svchost.exe                   2144 Services                   0     20,284 K
svchost.exe                   2172 Services                   0     14,960 K
svchost.exe                   2212 Services                   0     16,040 K
svchost.exe                   2400 Services                   0     14,160 K
svchost.exe                   2516 Services                   0     22,776 K
svchost.exe                   2576 Services                   0     29,660 K
svchost.exe                   2684 Services                   0     18,556 K
amdfendrsr.exe                2708 Services                   0      3,736 K
atiesrxx.exe                  2716 Services                   0      2,940 K
svchost.exe                   2908 Services                   0     15,376 K
svchost.exe                   2920 Services                   0     12,016 K
svchost.exe                   2932 Services                   0     16,620 K
svchost.exe                   2052 Services                   0     20,288 K
svchost.exe                   2420 Services                   0     17,460 K
svchost.exe                   2888 Services                   0     16,936 K
svchost.exe                   2620 Services                   0     18,676 K
svchost.exe                   3332 Services                   0     28,816 K
svchost.exe                   3480 Services                   0     27,780 K
svchost.exe                   3500 Services                   0     13,072 K
svchost.exe                   3508 Services                   0     18,616 K
svchost.exe                   3656 Services                   0     38,904 K
svchost.exe                   3704 Services                   0     28,288 K
spoolsv.exe                   3792 Services                   0      7,400 K
svchost.exe                   3828 Services                   0     44,220 K
svchost.exe                   3860 Services                   0     16,272 K
svchost.exe                   4064 Services                   0     15,812 K
svchost.exe                   4180 Services                   0     14,940 K
svchost.exe                   4192 Services                   0     69,388 K
svchost.exe                   4204 Services                   0     15,612 K
gameinputsvc.exe              4224 Services                   0      1,680 K
svchost.exe                   4232 Services                   0     34,864 K
DCIService.exe                4240 Services                   0     31,056 K
svchost.exe                   4248 Services                   0     83,728 K
svchost.exe                   4260 Services                   0     47,844 K
ibguard.exe                   4268 Services                   0        808 K
Lenovo.Modern.ImControlle     4284 Services                   0    106,008 K
svchost.exe                   4292 Services                   0     15,688 K
LenovoUtilityService.exe      4300 Services                   0      6,932 K
UDClientService.exe           4308 Services                   0     13,828 K
Lavasoft.WCAssistant.WinS     4332 Services                   0     12,716 K
svchost.exe                   4340 Services                   0     11,824 K
RtkBtManServ.exe              4356 Services                   0      2,952 K
NahimicService.exe            4364 Services                   0     21,364 K
svchost.exe                   4376 Services                   0     35,912 K
RtkAudUService64.exe          4396 Services                   0      6,016 K
svchost.exe                   4456 Services                   0     21,940 K
OfficeClickToRun.exe          4476 Services                   0     41,172 K
mysqld.exe                    4572 Services                   0      8,016 K
svchost.exe                   4928 Services                   0     21,036 K
ibserver.exe                  4984 Services                   0      3,452 K
svchost.exe                   4996 Services                   0     13,372 K
svchost.exe                   5004 Services                   0     19,504 K
dasHost.exe                   5172 Services                   0     12,500 K
svchost.exe                   5224 Services                   0     26,472 K
mysqld.exe                    5608 Services                   0      8,696 K
conhost.exe                   5676 Services                   0      8,000 K
svchost.exe                   6204 Services                   0     16,520 K
svchost.exe                   6500 Services                   0     20,468 K
dllhost.exe                   6816 Services                   0     25,920 K
